# Result of Exception Analysis....

1A	[signaler] NoSuchElementException	org.argouml.util.SingleElementIterator	next(		[handler] Throwable	org.argouml.cognitive.Designer	run(	
12O	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
12P	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
12Q	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
12R	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
12S	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
12T	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
12U	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
12V	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
12W	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
12X	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
12Y	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
12Z	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
12[	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
12\	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
12]	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
12^	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
12_	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
12`	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
12a	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
12b	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
12c	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
12d	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
12e	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Throwable	org.argouml.application.Main	main(String[])	
12f	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Throwable	org.argouml.application.Main	main(String[])	
12g	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Throwable	org.argouml.application.Main	main(String[])	
12h	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Throwable	org.argouml.application.Main	main(String[])	
12i	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Throwable	org.argouml.application.Main	main(String[])	
12j	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Throwable	org.argouml.application.Main	main(String[])	
12k	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Throwable	org.argouml.application.Main	main(String[])	
12l	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Throwable	org.argouml.application.Main	main(String[])	
13A	[signaler] IllegalArgumentException	org.argouml.util.TokenSep	TokenSep(String)		[handler] Throwable	org.argouml.language.java.generator.GeneratorJava	generate(java.util.Collection,boolean)	
13B	[signaler] IllegalArgumentException	org.argouml.util.TokenSep	TokenSep(String)		[handler] Throwable	org.argouml.language.java.generator.GeneratorJava	generateFileList(java.util.Collection,boolean)	
14A	[signaler] IllegalArgumentException	org.argouml.persistence.ResolvedCriticXMLHelper	ResolvedCriticXMLHelper(org.argouml.cognitive.ResolvedCritic)	CognitiveSupport	[handler] Throwable	org.argouml.uml.cognitive.ProjectMemberTodoList	getResolvedCriticsList(	
15A	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15B	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15C	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
15D	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
15E	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15F	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15G	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15H	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15I	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15J	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15K	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15L	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15M	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15N	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15O	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15P	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15Q	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15R	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15S	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15T	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15U	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15V	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15W	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15X	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15Y	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15Z	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15[	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15\	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15]	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15^	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15_	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15`	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15a	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15b	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15c	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15d	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15e	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15f	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15g	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15h	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15i	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15j	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15k	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15l	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15m	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15n	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15o	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15p	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15q	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15r	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15s	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
15t	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
16A	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
16B	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
16C	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
16D	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
16E	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
16F	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
16G	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
16H	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
16I	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
16J	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
16K	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
16L	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
16M	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
16N	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
16O	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
16P	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
16Q	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
16R	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
16S	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
16T	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
16U	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
