# Result of Exception Analysis....

1A	[signaler] UnsupportedOperationException	org.argouml.cognitive.critics.CompoundCritic	getSupportedDecisions(	CognitiveSuport	[handler] Throwable	org.argouml.cognitive.Designer	run(	
12F	[signaler] IllegalArgumentException	org.argouml.kernel.MemberList	getMember(java.lang.Class)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
12G	[signaler] IllegalArgumentException	org.argouml.kernel.MemberList	getMember(java.lang.Class)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
12H	[signaler] IllegalArgumentException	org.argouml.kernel.MemberList	getMember(java.lang.Class)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
12I	[signaler] IllegalArgumentException	org.argouml.kernel.MemberList	getMember(java.lang.Class)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
13A	[signaler] IllegalArgumentException	org.argouml.kernel.Project	findTypeInModel(String,java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
13B	[signaler] IllegalArgumentException	org.argouml.kernel.Project	findTypeInModel(String,java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
13C	[signaler] IllegalArgumentException	org.argouml.kernel.Project	findTypeInModel(String,java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
13D	[signaler] IllegalArgumentException	org.argouml.kernel.Project	findTypeInModel(String,java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
13E	[signaler] IllegalArgumentException	org.argouml.kernel.Project	findTypeInModel(String,java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
13F	[signaler] IllegalArgumentException	org.argouml.kernel.Project	findTypeInModel(String,java.lang.Object)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
13G	[signaler] IllegalArgumentException	org.argouml.kernel.Project	findTypeInModel(String,java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
13H	[signaler] IllegalArgumentException	org.argouml.kernel.Project	findTypeInModel(String,java.lang.Object)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
14A	[signaler] IllegalArgumentException	org.argouml.kernel.Project	addModelMember(java.lang.Object)		[handler] [uncaught] IllegalArgumentException	org.argouml.application.Main	main(String[])	
14B	[signaler] IllegalArgumentException	org.argouml.kernel.Project	addModelMember(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
14C	[signaler] IllegalArgumentException	org.argouml.kernel.Project	addModelMember(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
14D	[signaler] IllegalArgumentException	org.argouml.kernel.Project	addModelMember(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
14E	[signaler] IllegalArgumentException	org.argouml.kernel.Project	addModelMember(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
14F	[signaler] IllegalArgumentException	org.argouml.kernel.Project	addModelMember(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
14G	[signaler] IllegalArgumentException	org.argouml.kernel.Project	addModelMember(java.lang.Object)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
14H	[signaler] IllegalArgumentException	org.argouml.kernel.Project	addModelMember(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
14I	[signaler] IllegalArgumentException	org.argouml.kernel.Project	addModelMember(java.lang.Object)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15A	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] [uncaught] IllegalArgumentException	org.argouml.application.Main	main(String[])	
15B	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
15C	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
15D	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
15E	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
15F	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
15G	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15H	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
15I	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15J	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] [uncaught] IllegalArgumentException	org.argouml.application.Main	main(String[])	
15K	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.util.Tools	getVersionInfo(	
15L	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.util.Tools	getVersionInfo(	
15M	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] [uncaught] IllegalArgumentException	org.argouml.application.Main	main(String[])	
15N	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.util.Tools	getVersionInfo(	
15O	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] [uncaught] IllegalArgumentException	org.argouml.application.Main	main(String[])	
15P	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15Q	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15R	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15S	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15T	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15U	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15V	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15W	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15X	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15Y	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15Z	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15[	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15\	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15]	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15^	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15_	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15`	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15a	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15b	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15c	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15d	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15e	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15f	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15g	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15h	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15i	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15j	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15k	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15l	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15m	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15n	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15o	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15p	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15q	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15r	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15s	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15t	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15u	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15v	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15w	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15x	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15y	[signaler] IllegalArgumentException	org.argouml.i18n.Translator	localize(String)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16A	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
16B	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16C	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16D	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16E	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16F	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16G	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16H	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16I	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16J	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16K	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16L	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16M	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16N	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16O	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16P	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16Q	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16R	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16S	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16T	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16U	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16V	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16W	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16X	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16Y	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16Z	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16[	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16\	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16]	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16^	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16_	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16`	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16a	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16b	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16c	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16d	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16e	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16f	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16g	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16h	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
