# Result of Exception Analysis....

1A	[signaler] NoSuchElementException	org.argouml.util.SingleElementIterator	next(		[handler] Throwable	org.argouml.cognitive.Designer	run(	
12O	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
12P	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
12Q	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
12R	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
12S	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
12T	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
12U	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
12V	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
12W	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
12X	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
12Y	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
12Z	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
12[	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
12\	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
12]	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
12^	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
12_	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
12`	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
12a	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
12b	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
12c	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
12d	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
12e	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Throwable	org.argouml.application.Main	main(String[])	
12f	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Throwable	org.argouml.application.Main	main(String[])	
12g	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Throwable	org.argouml.application.Main	main(String[])	
12h	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Throwable	org.argouml.application.Main	main(String[])	
12i	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Throwable	org.argouml.application.Main	main(String[])	
12j	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Throwable	org.argouml.application.Main	main(String[])	
12k	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Throwable	org.argouml.application.Main	main(String[])	
12l	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Throwable	org.argouml.application.Main	main(String[])	
13A	[signaler] IllegalArgumentException	org.argouml.util.TokenSep	TokenSep(String)		[handler] Throwable	org.argouml.language.java.generator.GeneratorJava	generate(java.util.Collection,boolean)	
13B	[signaler] IllegalArgumentException	org.argouml.util.TokenSep	TokenSep(String)		[handler] Throwable	org.argouml.language.java.generator.GeneratorJava	generateFileList(java.util.Collection,boolean)	
14A	[signaler] IllegalArgumentException	org.argouml.persistence.ResolvedCriticXMLHelper	ResolvedCriticXMLHelper(org.argouml.cognitive.ResolvedCritic)	CognitiveSuport	[handler] Throwable	org.argouml.uml.cognitive.ProjectMemberTodoList	getResolvedCriticsList(	
15A	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15B	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15C	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
15D	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
15E	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15F	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15G	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15H	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15I	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15J	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15K	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15L	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15M	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15N	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15O	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15P	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15Q	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15R	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15S	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15T	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15U	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15V	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15W	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15X	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15Y	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15Z	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15[	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15\	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15]	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15^	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15_	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15`	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15a	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15b	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15c	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15d	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15e	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15f	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15g	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15h	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15i	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15j	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15k	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15l	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15m	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15n	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15o	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15p	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15q	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15r	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15s	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
15t	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16A	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
16B	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
16C	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16D	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16E	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16F	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16G	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16H	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16I	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16J	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16K	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16L	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16M	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16N	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16O	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16P	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16Q	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16R	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16S	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16T	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
16U	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setModelElements(java.util.List)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
